repoId,repoId
1,2
2,3
3,4
4,5
5,3
6,1
7,5
8,1
9,1
10,4
11,2
12,1
13,1
14,8
15,5
16,2
17,1
18,2
19,2
20,2
21,1
22,1
23,1
24,3
25,2
26,1
27,1
28,1
29,1
30,1
31,1
32,6
33,3
34,6
35,3
36,4
37,1
38,1
39,5
40,3
41,1
42,2
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,2
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,7
63,7
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,3
74,1
75,3
76,5
77,1
78,3
79,2
80,5
81,1
82,4
83,1
84,1
85,3
86,5
87,3
88,1
89,1
90,1
91,1
92,3
93,2
94,2
95,3
96,1
97,3
98,2
99,1
100,4
101,1
102,1
103,1
104,1
105,4
106,3
107,5
108,2
109,2
110,2
111,2
112,3
113,2
114,3
115,2
116,3
117,1
118,3
119,2
120,2
121,3
122,3
123,2
124,1
125,2
126,1
127,1
128,2
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,4
145,2
146,1
147,1
148,1
149,2
150,1
151,1
152,2
153,2
154,2
155,1
156,2
157,1
158,1
159,1
160,3
161,1
162,2
163,1
164,1
165,1
166,1
167,1
