CMDLINE c:\users\emarcelloni\appdata\local\programs\python\python38\python.exe AGD_Inventory_Optimization.py
MEM 0.863281 1643743191.2058
MEM 11.347656 1643743191.3061
MEM 16.769531 1643743191.4063
MEM 21.710938 1643743191.5066
MEM 25.570312 1643743191.6068
MEM 29.523438 1643743191.7071
MEM 32.121094 1643743191.8074
MEM 35.285156 1643743191.9076
MEM 40.265625 1643743192.0079
MEM 42.050781 1643743192.1082
MEM 43.777344 1643743192.2084
MEM 48.078125 1643743192.3087
MEM 52.753906 1643743192.4090
MEM 53.371094 1643743192.5093
MEM 54.570312 1643743192.6095
MEM 55.468750 1643743192.7099
MEM 56.343750 1643743192.8102
MEM 57.507812 1643743192.9104
MEM 58.359375 1643743193.0107
MEM 59.414062 1643743193.1110
MEM 60.238281 1643743193.2113
MEM 61.492188 1643743193.3121
MEM 62.628906 1643743193.4125
MEM 63.304688 1643743193.5128
MEM 64.339844 1643743193.6130
MEM 66.277344 1643743193.7133
MEM 66.828125 1643743193.8136
MEM 68.191406 1643743193.9138
MEM 69.332031 1643743194.0141
MEM 70.328125 1643743194.1144
MEM 71.132812 1643743194.2147
MEM 71.609375 1643743194.3150
MEM 72.894531 1643743194.4153
MEM 73.500000 1643743194.5155
MEM 73.500000 1643743194.6158
MEM 73.500000 1643743194.7161
MEM 75.777344 1643743194.8163
MEM 78.101562 1643743194.9168
MEM 78.210938 1643743195.0171
MEM 80.558594 1643743195.1174
MEM 84.437500 1643743195.2176
MEM 85.195312 1643743195.3179
MEM 85.496094 1643743195.4182
MEM 86.148438 1643743195.5184
MEM 87.136719 1643743195.6187
MEM 87.390625 1643743195.7193
MEM 87.531250 1643743195.8195
MEM 87.632812 1643743195.9198
MEM 88.136719 1643743196.0203
MEM 89.953125 1643743196.1206
MEM 92.089844 1643743196.2209
MEM 92.406250 1643743196.3212
MEM 92.531250 1643743196.4214
MEM 92.531250 1643743196.5221
MEM 92.531250 1643743196.6238
MEM 92.531250 1643743196.7241
MEM 92.531250 1643743196.8244
MEM 92.953125 1643743196.9246
MEM 94.175781 1643743197.0249
MEM 90.855469 1643743197.1252
