CMDLINE c:\users\emarcelloni\appdata\local\programs\python\python38\python.exe agd_inventory_optimization.py
MEM 0.847656 1643744943.9341
MEM 12.597656 1643744944.0344
MEM 17.464844 1643744944.1346
MEM 22.609375 1643744944.2349
MEM 26.144531 1643744944.3352
MEM 29.875000 1643744944.4355
MEM 32.417969 1643744944.5357
MEM 36.519531 1643744944.6360
MEM 40.269531 1643744944.7363
MEM 42.414062 1643744944.8365
MEM 46.503906 1643744944.9368
MEM 51.644531 1643744945.0371
MEM 57.242188 1643744945.1373
MEM 61.277344 1643744945.2376
MEM 66.699219 1643744945.3378
MEM 70.441406 1643744945.4381
MEM 75.460938 1643744945.5384
MEM 83.660156 1643744945.6386
MEM 85.480469 1643744945.7389
MEM 87.503906 1643744945.8392
MEM 87.593750 1643744945.9394
MEM 88.656250 1643744946.0397
MEM 91.777344 1643744946.1402
MEM 91.777344 1643744946.2404
MEM 100.742188 1643744946.3407
MEM 101.507812 1643744946.4409
MEM 101.511719 1643744946.5412
MEM 101.511719 1643744946.6415
MEM 102.761719 1643744946.7417
MEM 109.292969 1643744946.8420
MEM 118.339844 1643744946.9423
MEM 124.777344 1643744947.0425
MEM 132.535156 1643744947.1428
MEM 139.898438 1643744947.2431
MEM 139.960938 1643744947.3433
MEM 140.402344 1643744947.4436
MEM 140.714844 1643744947.5439
MEM 141.121094 1643744947.6441
MEM 141.433594 1643744947.7444
MEM 141.621094 1643744947.8447
MEM 142.128906 1643744947.9449
MEM 142.277344 1643744948.0452
MEM 142.507812 1643744948.1455
MEM 142.757812 1643744948.2457
MEM 142.886719 1643744948.3460
MEM 143.199219 1643744948.4463
MEM 143.703125 1643744948.5466
MEM 144.777344 1643744948.6468
MEM 145.421875 1643744948.7470
MEM 146.957031 1643744948.8473
MEM 150.035156 1643744948.9476
MEM 152.332031 1643744949.0479
MEM 152.351562 1643744949.1481
MEM 152.351562 1643744949.2484
MEM 152.351562 1643744949.3486
MEM 151.941406 1643744949.4489
MEM 151.941406 1643744949.5492
MEM 151.941406 1643744949.6494
MEM 151.765625 1643744949.7497
MEM 154.789062 1643744949.8500
MEM 160.734375 1643744949.9502
MEM 166.257812 1643744950.0505
MEM 172.546875 1643744950.1507
MEM 181.550781 1643744950.2510
MEM 198.398438 1643744950.3512
MEM 191.910156 1643744950.4515
MEM 158.089844 1643744950.5538
MEM 158.089844 1643744950.6541
MEM 158.089844 1643744950.7546
MEM 158.089844 1643744950.8549
MEM 158.089844 1643744950.9552
MEM 158.089844 1643744951.0554
MEM 165.351562 1643744951.1557
MEM 166.382812 1643744951.2559
MEM 167.300781 1643744951.3562
MEM 157.281250 1643744951.4565
MEM 157.320312 1643744951.5567
MEM 157.324219 1643744951.6570
MEM 157.324219 1643744951.7573
MEM 157.324219 1643744951.8575
MEM 157.324219 1643744951.9578
MEM 157.324219 1643744952.0580
MEM 157.324219 1643744952.1583
MEM 157.324219 1643744952.2586
MEM 157.328125 1643744952.3589
MEM 157.519531 1643744952.4591
MEM 158.515625 1643744952.5594
MEM 158.703125 1643744952.6596
MEM 131.253906 1643744952.7599
