Fecha;Dia;Inicial;Realizo
2022-01-01;Sábado;itrepin;
2022-01-02;Domingo;itrepin;
2022-01-03;Lunes;malvarez;
2022-01-04;Martes;mcaamano;
2022-01-05;Miercoles;mcalvagni;
2022-01-06;Jueves;hcofanelli;
2022-01-07;Viernes;atroya;
2022-01-08;Sábado;atroya;
2022-01-09;Domingo;atroya;
2022-01-10;Lunes;lcuello;
2022-01-11;Martes;mediaz;
2022-01-12;Miercoles;jmgarcia;
2022-01-13;Jueves;rgodoy;
2022-01-14;Viernes;mvilla;
2022-01-15;Sábado;mvilla;
2022-01-16;Domingo;mvilla;
2022-01-17;Lunes;nlopez;
2022-01-18;Martes;emarcelloni;
2022-01-19;Miercoles;npittavino;
2022-01-20;Jueves;drosellini;
2022-01-21;Viernes;ocizarate;
2022-01-22;Sábado;ocizarate;
2022-01-23;Domingo;ocizarate;
2022-01-24;Lunes;hsismondi;
2022-01-25;Martes;itrepin;
2022-01-26;Miercoles;atroya;mcaamano
2022-01-27;Jueves;mvilla;
2022-01-28;Viernes;malfonso;
2022-01-29;Sábado;malfonso;
2022-01-30;Domingo;malfonso;
2022-01-31;Lunes;ocizarate;
2022-02-01;Martes;malfonso;
2022-02-02;Miercoles;malvarez;
2022-02-03;Jueves;mcaamano;atroya
2022-02-04;Viernes;malvarez;
2022-02-05;Sábado;malvarez;
2022-02-06;Domingo;malvarez;
2022-02-07;Lunes;mcalvagni;
2022-02-08;Martes;hcofanelli;
2022-02-09;Miercoles;lcuello;
2022-02-10;Jueves;mediaz;
2022-02-11;Viernes;mcaamano;
2022-02-12;Sábado;mcaamano;
2022-02-13;Domingo;mcaamano;
2022-02-14;Lunes;jmgarcia;
2022-02-15;Martes;rgodoy;
2022-02-16;Miercoles;nlopez;
2022-02-17;Jueves;emarcelloni;
2022-02-18;Viernes;hcofanelli;
2022-02-19;Sábado;hcofanelli;
2022-02-20;Domingo;hcofanelli;
2022-02-21;Lunes;npittavino;
2022-02-22;Martes;drosellini;
2022-02-23;Miercoles;hsismondi;
2022-02-24;Jueves;itrepin;
2022-02-25;Viernes;mediaz;
2022-02-26;Sábado;mediaz;
2022-02-27;Domingo;mediaz;
2022-02-28;Lunes;mediaz;
2022-03-01;Martes;mediaz;
2022-03-02;Miercoles;atroya;
2022-03-03;Jueves;mvilla;
2022-03-04;Viernes;jmgarcia;
2022-03-05;Sábado;jmgarcia;
2022-03-06;Domingo;jmgarcia;
2022-03-07;Lunes;ocizarate;
2022-03-08;Martes;malfonso;
2022-03-09;Miercoles;malvarez;
2022-03-10;Jueves;mcaamano;
2022-03-11;Viernes;rgodoy;
2022-03-12;Sábado;rgodoy;
2022-03-13;Domingo;rgodoy;
2022-03-14;Lunes;mcalvagni;
2022-03-15;Martes;hcofanelli;
2022-03-16;Miercoles;lcuello;
2022-03-17;Jueves;mediaz;
2022-03-18;Viernes;nlopez;
2022-03-19;Sábado;nlopez;
2022-03-20;Domingo;nlopez;
2022-03-21;Lunes;jmgarcia;
2022-03-22;Martes;rgodoy;
2022-03-23;Miercoles;nlopez;
2022-03-24;Jueves;nlopez;
2022-03-25;Viernes;mcalvagni;
2022-03-26;Sábado;mcalvagni;
2022-03-27;Domingo;mcalvagni;
2022-03-28;Lunes;emarcelloni;
2022-03-29;Martes;npittavino;
2022-03-30;Miercoles;drosellini;
2022-03-31;Jueves;hsismondi;
2022-04-01;Viernes;lcuello;
2022-04-02;Sábado;lcuello;
2022-04-03;Domingo;lcuello;
2022-04-04;Lunes;itrepin;
2022-04-05;Martes;atroya;
2022-04-06;Miercoles;mvilla;
2022-04-07;Jueves;ocizarate;
2022-04-08;Viernes;hsismondi;
2022-04-09;Sábado;hsismondi;
2022-04-10;Domingo;hsismondi;
2022-04-11;Lunes;malfonso;
2022-04-12;Martes;malvarez;
2022-04-13;Miercoles;mcaamano;
2022-04-14;Jueves;mcalvagni;
2022-04-15;Viernes;njacob;
2022-04-16;Sábado;njacob;
2022-04-17;Domingo;njacob;
2022-04-18;Lunes;hcofanelli;
2022-04-19;Martes;lcuello;
2022-04-20;Miercoles;mediaz;
2022-04-21;Jueves;jmgarcia;
2022-04-22;Viernes;mcalvagni;
2022-04-23;Sábado;mcalvagni;
2022-04-24;Domingo;mcalvagni;
2022-04-25;Lunes;rgodoy;
2022-04-26;Martes;nlopez;
