Fecha;Dia;Inicial;Realizo
2021-06-23;Miercoles;nchialvo;nchialvo
2021-06-24;Jueves;msavino;mvilla
2021-06-25;Viernes;scarnino;mediaz
2021-06-26;Sábado;scarnino;mediaz
2021-06-27;Domingo;scarnino;mediaz
2021-06-28;Lunes;itrepin;mvilla
2021-06-29;Martes;lcuello;lcuello
2021-06-30;Miercoles;mediaz;
2021-07-01;Jueves;jmgarcia;jmgarcia
2021-07-02;Viernes;nchialvo;nchialvo
2021-07-03;Sábado;nchialvo;nchialvo
2021-07-04;Domingo;nchialvo;nchialvo
2021-07-05;Lunes;rgodoy;rgodoy
2021-07-06;Martes;nlopez;malfonso
2021-07-07;Miercoles;emarcelloni;
2021-07-08;Jueves;mediaz;mediaz
2021-07-09;Viernes;mediaz;mediaz
2021-07-10;Sábado;mediaz;mediaz
2021-07-11;Domingo;mediaz;mediaz
2021-07-12;Lunes;npittavino;npittavino
2021-07-13;Martes;jrivera;jrivera
2021-07-14;Miercoles;drosellini;nchialvo
2021-07-15;Jueves;hsismondi;lcuello
2021-07-16;Viernes;jmgarcia;mediaz
2021-07-17;Sábado;jmgarcia;mediaz
2021-07-18;Domingo;jmgarcia;mediaz
2021-07-19;Lunes;itrepin;mvilla
2021-07-20;Martes;mvilla;mvilla
2021-07-21;Miercoles;szabala;ocizarate
2021-07-22;Jueves;ocizarate;ocizarate
2021-07-23;Viernes;rgodoy;rgodoy
2021-07-24;Sábado;rgodoy;rgodoy
2021-07-25;Domingo;rgodoy;rgodoy
2021-07-26;Lunes;meacevedo;meacevedo
2021-07-27;Martes;malfonso;malfonso
2021-07-28;Miercoles;malvarez;malvarez
2021-07-29;Jueves;mcaamano;mcaamano
2021-07-30;Viernes;nlopez;nlopez
2021-07-31;Sábado;nlopez;nlopez
2021-08-01;Domingo;nlopez;nlopez
2021-08-02;Lunes;mcalvagni;mcalvagni
2021-08-03;Martes;nchialvo;drosellini
2021-08-04;Miercoles;hcofanelli;hcofanelli
2021-08-05;Jueves;lcuello;lcuello
2021-08-06;Viernes;emarcelloni;mcalvagni
2021-08-07;Sábado;emarcelloni;mcalvagni
2021-08-08;Domingo;emarcelloni;mcalvagni
2021-08-09;Lunes;mediaz;mediaz
2021-08-10;Martes;jmgarcia;jmgarcia
2021-08-11;Miercoles;rgodoy;rgodoy
2021-08-12;Jueves;nlopez;mvilla
2021-08-13;Viernes;npittavino;mediaz
2021-08-14;Sábado;npittavino;mediaz
2021-08-15;Domingo;npittavino;mediaz
2021-08-16;Lunes;npittavino;mediaz
2021-08-17;Martes;emarcelloni;emarcelloni
2021-08-18;Miercoles;npittavino;npittavino
2021-08-19;Jueves;jrivera;mediaz
2021-08-20;Viernes;jrivera;mvilla
2021-08-21;Sábado;jrivera;mvilla
2021-08-22;Domingo;jrivera;mvilla
2021-08-23;Lunes;drosellini;drosellini
2021-08-24;Martes;hsismondi;hsismondi
2021-08-25;Miercoles;itrepin;mvilla
2021-08-26;Jueves;mvilla;itrepin
2021-08-27;Viernes;drosellini;drosellini
2021-08-28;Sábado;drosellini;drosellini
2021-08-29;Domingo;drosellini;drosellini
2021-08-30;Lunes;szabala;szabala
2021-08-31;Martes;ocizarate;szabala
2021-09-01;Miercoles;meacevedo;meacevedo
2021-09-02;Jueves;malfonso;malfonso
2021-09-03;Viernes;itrepin;malfonso
2021-09-04;Sábado;itrepin;malfonso
2021-09-05;Domingo;itrepin;malfonso
2021-09-06;Lunes;malvarez;malvarez
2021-09-07;Martes;mcaamano;mcaamano
2021-09-08;Miercoles;mcalvagni;mcalvagni
2021-09-09;Jueves;nchialvo;nchialvo
