,date_name,local_team_id,local_team,local_result,visitor_result,visitor_team,visitor_team_id
0,Nacional 1976 - Grupo C,22.0,All Boys,2,0,Aldosivi,2.0
1,Nacional 1976 - Grupo C,22.0,Aldosivi,4,0,All Boys,2.0
2,Superliga 2019/20 - Fecha 2,22.0,Aldosivi,0,0,Argentinos,3.0
3,Superliga 2018/19 - Fecha 15,22.0,Argentinos,1,2,Aldosivi,3.0
4,Torneo 2016 - Fecha 2,22.0,Aldosivi,3,2,Argentinos,3.0
5,Campeonato 2015 - Fecha 11,22.0,Argentinos,0,1,Aldosivi,3.0
6,Nacional 1975 - Grupo B,22.0,Argentinos,1,1,Aldosivi,3.0
7,Nacional 1975 - Grupo B,22.0,Aldosivi,3,4,Argentinos,3.0
8,Superliga 2019/20 - Fecha 23,22.0,Arsenal,4,0,Aldosivi,4.0
9,Campeonato 2016/17 - Fecha 17,22.0,Aldosivi,2,1,Arsenal,4.0
10,Campeonato 2015 - Fecha 7,22.0,Arsenal,0,3,Aldosivi,4.0
11,Campeonato 2016/17 - Fecha 15,22.0,Aldosivi,1,0,Atl Rafaela,24.0
12,Torneo 2016 - Fecha 15,22.0,Aldosivi,2,1,Atl Rafaela,24.0
13,Campeonato 2015 - Fecha 19,22.0,Atl Rafaela,2,1,Aldosivi,24.0
14,Superliga 2019/20 - Fecha 4,22.0,Aldosivi,3,0,Atl Tucuman,25.0
15,Superliga 2018/19 - Fecha 24,22.0,Atl Tucuman,1,0,Aldosivi,25.0
16,Campeonato 2016/17 - Fecha 16,22.0,Atl Tucuman,0,0,Aldosivi,25.0
17,Torneo 2016 - Fecha 7,22.0,Atl Tucuman,1,1,Aldosivi,25.0
18,Nacional 1975 - Grupo B,22.0,Atl Tucuman,3,2,Aldosivi,25.0
19,Nacional 1975 - Grupo B,22.0,Aldosivi,1,3,Atl Tucuman,25.0
20,Superliga 2019/20 - Fecha 21,22.0,Banfield,0,1,Aldosivi,5.0
21,Superliga 2018/19 - Fecha 11,22.0,Aldosivi,1,4,Banfield,5.0
22,Campeonato 2016/17 - Fecha 3,22.0,Aldosivi,1,3,Banfield,5.0
23,Campeonato 2015 - Liguilla Sudamericana,22.0,Banfield,1,1,Aldosivi,5.0
24,Campeonato 2015 - Liguilla Sudamericana,22.0,Aldosivi,2,3,Banfield,5.0
25,Campeonato 2015 - Fecha 12,22.0,Aldosivi,0,3,Banfield,5.0
26,Superliga 2018/19 - Fecha 6,22.0,Aldosivi,2,0,Belgrano,26.0
27,Campeonato 2016/17 - Fecha 6,22.0,Belgrano,0,0,Aldosivi,26.0
28,Campeonato 2015 - Fecha 5,22.0,Belgrano,0,1,Aldosivi,26.0
29,Superliga 2019/20 - Fecha 3,22.0,Boca Juniors,2,0,Aldosivi,6.0
30,Superliga 2018/19 - Fecha 25,22.0,Aldosivi,1,1,Boca Juniors,6.0
31,Campeonato 2016/17 - Fecha 28,22.0,Aldosivi,0,4,Boca Juniors,6.0
32,Torneo 2016 - Fecha 11,22.0,Boca Juniors,4,1,Aldosivi,6.0
33,Campeonato 2015 - Fecha 13,22.0,Boca Juniors,0,3,Aldosivi,6.0
34,Nacional 1975 - Grupo B,22.0,Boca Juniors,1,2,Aldosivi,6.0
35,Nacional 1975 - Grupo B,22.0,Aldosivi,1,4,Boca Juniors,6.0
36,Superliga 2019/20 - Fecha 19,22.0,Aldosivi,0,2,Central Cba (SdE),78.0
37,Nacional 1974 - Grupo C,22.0,Chacarita,4,1,Aldosivi,28.0
38,Nacional 1974 - Grupo C,22.0,Aldosivi,2,2,Chacarita,28.0
39,Nacional 1975 - Fecha Intergrupo,22.0,Aldosivi,1,1,Cipolletti,49.0
40,Nacional 1975 - Fecha Intergrupo,22.0,Cipolletti,0,1,Aldosivi,49.0
41,Superliga 2019/20 - Fecha 16,22.0,Colon,0,2,Aldosivi,7.0
42,Superliga 2018/19 - Fecha 23,22.0,Aldosivi,3,0,Colon,7.0
43,Campeonato 2016/17 - Fecha 1,22.0,Aldosivi,0,2,Colon,7.0
44,Campeonato 2015 - Fecha 20,22.0,Aldosivi,1,1,Colon,7.0
45,Campeonato 2015 - Fecha 30,22.0,Crucero (M),0,2,Aldosivi,80.0
46,Campeonato 2015 - Fecha 24,22.0,Aldosivi,2,0,Crucero (M),80.0
47,Superliga 2019/20 - Fecha 10,22.0,Aldosivi,1,0,Def y Justicia,29.0
48,Superliga 2018/19 - Fecha 21,22.0,Aldosivi,0,1,Def y Justicia,29.0
49,Campeonato 2016/17 - Fecha 9,22.0,Aldosivi,0,0,Def y Justicia,29.0
50,Torneo 2016 - Fecha 5,22.0,Def y Justicia,4,0,Aldosivi,29.0
51,Campeonato 2015 - Fecha 21,22.0,Def y Justicia,4,0,Aldosivi,29.0
52,Nacional 1974 - Grupo C,22.0,Dep Mandiyu (C),1,1,Aldosivi,172.0
53,Nacional 1974 - Grupo C,22.0,Aldosivi,2,0,Dep Mandiyu (C),172.0
54,Superliga 2019/20 - Fecha 1,22.0,Estudiantes (LP),1,0,Aldosivi,8.0
55,Superliga 2018/19 - Fecha 5,22.0,Estudiantes (LP),0,2,Aldosivi,8.0
56,Campeonato 2016/17 - Fecha 19,22.0,Aldosivi,1,4,Estudiantes (LP),8.0
57,Torneo 2016 - Fecha 4,22.0,Aldosivi,1,2,Estudiantes (LP),8.0
58,Campeonato 2015 - Fecha 23,22.0,Estudiantes (LP),2,1,Aldosivi,8.0
59,Nacional 1975 - Grupo B,22.0,Aldosivi,1,0,Ferro,30.0
60,Nacional 1975 - Grupo B,22.0,Ferro,3,1,Aldosivi,30.0
61,Nacional 1974 - Grupo C,22.0,Aldosivi,0,2,Ferro,30.0
62,Nacional 1974 - Grupo C,22.0,Ferro,2,1,Aldosivi,30.0
63,Superliga 2019/20 - Fecha 13,22.0,Aldosivi,0,3,Gimnasia (LP),9.0
64,Superliga 2018/19 - Fecha 20,22.0,Aldosivi,0,0,Gimnasia (LP),9.0
65,Campeonato 2016/17 - Fecha 20,22.0,Gimnasia (LP),1,0,Aldosivi,9.0
66,Campeonato 2015 - Fecha 9,22.0,Gimnasia (LP),4,1,Aldosivi,9.0
67,Nacional 1975 - Grupo B,22.0,Gimnasia (LP),4,0,Aldosivi,9.0
68,Nacional 1975 - Grupo B,22.0,Aldosivi,2,1,Gimnasia (LP),9.0
69,Superliga 2019/20 - Fecha 11,22.0,Godoy Cruz,3,2,Aldosivi,10.0
70,Superliga 2018/19 - Fecha 9,22.0,Godoy Cruz,2,0,Aldosivi,10.0
71,Campeonato 2016/17 - Fecha 8,22.0,Godoy Cruz,3,1,Aldosivi,10.0
72,Campeonato 2015 - Fecha 8,22.0,Aldosivi,2,0,Godoy Cruz,10.0
73,Nacional 1974 - Grupo C,22.0,Godoy Cruz,2,1,Aldosivi,10.0
74,Nacional 1974 - Grupo C,22.0,Aldosivi,3,1,Godoy Cruz,10.0
75,Superliga 2019/20 - Fecha 20,22.0,Huracan,0,2,Aldosivi,11.0
76,Superliga 2018/19 - Fecha 2,22.0,Aldosivi,2,1,Huracan,11.0
77,Campeonato 2016/17 - Fecha 23,22.0,Aldosivi,0,3,Huracan,11.0
78,Torneo 2016 - Fecha 3,22.0,Huracan,2,0,Aldosivi,11.0
79,Campeonato 2015 - Fecha 25,22.0,Aldosivi,0,0,Huracan,11.0
80,Nacional 1976 - Grupo C,22.0,Huracan,4,1,Aldosivi,11.0
81,Nacional 1976 - Grupo C,22.0,Aldosivi,0,3,Huracan,11.0
82,Superliga 2019/20 - Fecha 15,22.0,Aldosivi,0,0,Independiente,12.0
83,Superliga 2018/19 - Fecha 22,22.0,Independiente,2,0,Aldosivi,12.0
