family;top;date
1;1;35
1;2;54
1;3;63
1;4;33
1;5;11
1;6;39
1;7;44
1;8;3
1;9;10
1;10;62
1;11;0
2;1;2
2;2;15
2;3;37
2;4;16
2;5;40
2;6;96
2;7;84
2;8;5
2;9;80
2;10;9
2;11;0
3;1;18
3;2;35
3;3;95
3;4;20
3;5;28
3;6;98
3;7;92
3;8;55
3;9;10
3;10;79
3;11;0
4;1;53
4;2;19
4;3;90
4;4;8
4;5;5
4;6;23
4;7;42
4;8;33
4;9;46
4;10;100
4;11;0
5;1;93
5;2;41
5;3;13
5;4;53
5;5;12
5;6;3
5;7;97
5;8;43
5;9;50
5;10;90
5;11;0
6;1;96
6;2;68
6;3;85
6;4;69
6;5;81
6;6;94
6;7;80
6;8;90
6;9;83
6;10;33
6;11;0
7;1;76
7;2;85
7;3;8
7;4;64
7;5;48
7;6;27
7;7;45
7;8;20
7;9;81
7;10;3
7;11;0
8;1;32
8;2;64
8;3;92
8;4;80
8;5;55
8;6;38
8;7;27
8;8;54
8;9;50
8;10;49
8;11;0
9;1;19
9;2;75
9;3;59
9;4;71
9;5;12
9;6;72
9;7;50
9;8;8
9;9;66
9;10;79
9;11;0
10;1;4
10;2;80
10;3;70
10;4;85
10;5;81
10;6;67
10;7;99
10;8;37
10;9;41
10;10;39
10;11;0
11;1;22
11;2;24
11;3;2
11;4;80
11;5;36
11;6;7
11;7;52
11;8;14
11;9;1
11;10;74
11;11;0
12;1;92
12;2;47
12;3;80
12;4;36
12;5;59
12;6;57
12;7;26
12;8;43
12;9;35
12;10;32
12;11;0
13;1;83
13;2;81
13;3;67
13;4;85
13;5;29
13;6;64
13;7;4
13;8;20
13;9;3
13;10;77
13;11;0
14;1;34
14;2;62
14;3;13
14;4;23
14;5;79
14;6;28
14;7;9
14;8;12
14;9;89
14;10;17
14;11;0
15;1;51
15;2;78
15;3;21
15;4;11
15;5;86
15;6;90
15;7;85
15;8;97
15;9;91
15;10;58
15;11;0
16;1;50
16;2;84
16;3;36
16;4;49
16;5;99
16;6;52
16;7;21
16;8;91
16;9;68
16;10;4
16;11;0
17;1;10
17;2;42
17;3;76
17;4;83
17;5;89
17;6;54
17;7;30
17;8;47
17;9;57
17;10;74
17;11;0
18;1;28
18;2;51
18;3;67
18;4;69
18;5;91
18;6;1
18;7;88
18;8;53
18;9;76
18;10;5
18;11;0
19;1;82
19;2;60
19;3;84
19;4;76
19;5;86
19;6;8
19;7;30
19;8;74
19;9;29
19;10;7
19;11;0
20;1;11
20;2;80
20;3;48
20;4;73
20;5;84
20;6;37
20;7;41
20;8;58
20;9;68
20;10;89
20;11;0
21;1;49
21;2;76
21;3;7
21;4;92
21;5;99
21;6;52
21;7;85
21;8;60
21;9;96
21;10;73
21;11;0
22;1;6
22;2;50
22;3;32
22;4;49
22;5;8
22;6;11
22;7;47
22;8;90
22;9;35
22;10;71
22;11;0
23;1;19
23;2;50
23;3;42
23;4;29
23;5;2
23;6;53
23;7;96
23;8;18
23;9;86
23;10;9
23;11;0
24;1;76
24;2;79
24;3;100
24;4;96
24;5;53
24;6;78
24;7;75
24;8;13
24;9;85
24;10;69
24;11;0
25;1;86
25;2;18
25;3;81
25;4;97
25;5;32
25;6;11
25;7;93
25;8;2
25;9;17
25;10;84
25;11;0
26;1;40
26;2;36
26;3;83
26;4;86
26;5;71
26;6;81
26;7;19
26;8;80
26;9;73
26;10;95
26;11;0
27;1;44
27;2;52
27;3;74
27;4;100
27;5;34
27;6;49
27;7;29
27;8;3
27;9;27
27;10;16
27;11;0
28;1;13
28;2;69
28;3;6
28;4;63
28;5;7
28;6;79
28;7;53
28;8;71
28;9;44
28;10;43
28;11;0
29;1;57
29;2;81
29;3;99
29;4;65
29;5;34
29;6;35
29;7;2
29;8;54
29;9;47
29;10;17
29;11;0
30;1;62
30;2;69
30;3;37
30;4;31
30;5;95
30;6;13
30;7;22
30;8;85
30;9;78
30;10;59
30;11;0
31;1;68
31;2;99
31;3;97
31;4;60
31;5;14
31;6;11
31;7;74
31;8;65
31;9;54
31;10;45
31;11;0
32;1;25
32;2;67
32;3;44
32;4;19
32;5;53
32;6;16
32;7;97
32;8;64
32;9;82
32;10;20
32;11;0
33;1;89
33;2;95
33;3;53
33;4;25
33;5;51
33;6;23
33;7;33
33;8;80
33;9;83
33;10;3
33;11;0
34;1;46
34;2;5
34;3;14
34;4;31
34;5;76
34;6;96
34;7;83
34;8;64
34;9;68
34;10;91
34;11;0
35;1;57
35;2;45
35;3;18
35;4;47
35;5;6
35;6;44
35;7;93
35;8;38
35;9;74
35;10;25
35;11;0
36;1;21
36;2;70
36;3;39
36;4;6
36;5;37
36;6;61
36;7;82
36;8;67
36;9;69
36;10;97
36;11;0
37;1;78
37;2;23
37;3;44
37;4;75
37;5;80
37;6;37
37;7;55
37;8;13
37;9;21
37;10;100
37;11;0
38;1;14
38;2;88
38;3;51
38;4;49
38;5;95
38;6;36
38;7;37
38;8;23
38;9;54
38;10;48
38;11;0
39;1;97
39;2;98
39;3;19
39;4;80
39;5;58
39;6;90
39;7;57
39;8;49
39;9;66
39;10;91
39;11;0
40;1;94
40;2;49
40;3;19
40;4;64
40;5;13
40;6;36
40;7;16
40;8;35
40;9;12
40;10;39
40;11;0
41;1;35
41;2;10
41;3;97
41;4;20
41;5;3
41;6;69
41;7;24
41;8;82
41;9;37
41;10;5
41;11;0
42;1;11
42;2;89
42;3;94
42;4;1
42;5;56
42;6;31
42;7;98
42;8;58
42;9;77
42;10;53
42;11;0
43;1;24
43;2;65
43;3;79
43;4;36
43;5;46
43;6;64
43;7;83
43;8;87
43;9;8
43;10;39
43;11;0
44;1;25
44;2;54
44;3;59
44;4;64
44;5;69
44;6;15
44;7;84
44;8;77
44;9;22
44;10;60
44;11;0
45;1;44
45;2;45
45;3;90
45;4;48
45;5;25
45;6;51
45;7;89
45;8;37
45;9;29
45;10;18
45;11;0
46;1;84
46;2;96
46;3;17
46;4;1
46;5;18
46;6;58
46;7;100
46;8;88
46;9;94
46;10;35
46;11;0
47;1;61
47;2;87
47;3;69
47;4;79
47;5;46
47;6;36
47;7;14
47;8;11
47;9;72
47;10;28
47;11;0
48;1;98
48;2;48
48;3;43
48;4;84
48;5;58
48;6;33
48;7;31
48;8;24
48;9;56
48;10;73
48;11;0
49;1;29
49;2;73
49;3;55
