familie;top;date
1;1;31
1;2;36
1;3;59
1;4;91
1;5;89
1;6;24
1;7;23
1;8;82
1;9;33
1;10;51
1;11;0
2;1;45
2;2;32
2;3;89
2;4;34
2;5;25
2;6;8
2;7;59
2;8;94
2;9;67
2;10;46
2;11;0
3;1;81
3;2;51
3;3;30
3;4;35
3;5;40
3;6;53
3;7;41
3;8;32
3;9;13
3;10;39
3;11;0
4;1;69
4;2;45
4;3;33
4;4;17
4;5;5
4;6;58
4;7;43
4;8;24
4;9;18
4;10;80
4;11;0
5;1;13
5;2;60
5;3;1
5;4;100
5;5;92
5;6;73
5;7;16
5;8;33
5;9;61
5;10;49
5;11;0
6;1;45
6;2;93
6;3;96
6;4;59
6;5;88
6;6;56
6;7;79
6;8;71
6;9;50
6;10;39
6;11;0
7;1;26
7;2;81
7;3;62
7;4;8
7;5;99
7;6;23
7;7;37
7;8;45
7;9;9
7;10;98
7;11;0
8;1;48
8;2;82
8;3;50
8;4;4
8;5;31
8;6;88
8;7;98
8;8;14
8;9;23
8;10;32
8;11;0
9;1;76
9;2;77
9;3;3
9;4;63
9;5;12
9;6;26
9;7;71
9;8;2
9;9;74
9;10;13
9;11;0
10;1;53
10;2;47
10;3;59
10;4;82
10;5;37
10;6;26
10;7;78
10;8;56
10;9;11
10;10;1
10;11;0
11;1;91
11;2;31
11;3;88
11;4;30
11;5;48
11;6;93
11;7;43
11;8;35
11;9;51
11;10;20
11;11;0
12;1;2
12;2;88
12;3;17
12;4;4
12;5;18
12;6;3
12;7;78
12;8;29
12;9;20
12;10;84
12;11;0
13;1;86
13;2;27
13;3;85
13;4;26
13;5;54
13;6;66
13;7;40
13;8;44
13;9;82
13;10;63
13;11;0
14;1;73
14;2;65
14;3;41
14;4;5
14;5;10
14;6;22
14;7;98
14;8;51
14;9;31
14;10;67
14;11;0
15;1;30
15;2;31
15;3;4
15;4;73
15;5;36
15;6;39
15;7;98
15;8;63
15;9;15
15;10;11
15;11;0
16;1;48
16;2;56
16;3;62
16;4;24
16;5;85
16;6;23
16;7;1
16;8;44
16;9;100
16;10;97
16;11;0
17;1;87
17;2;59
17;3;36
17;4;46
17;5;95
17;6;34
17;7;52
17;8;97
17;9;88
17;10;33
17;11;0
18;1;8
18;2;71
18;3;70
18;4;76
18;5;90
18;6;67
18;7;38
18;8;57
18;9;95
18;10;47
18;11;0
19;1;43
19;2;79
19;3;82
19;4;81
19;5;84
19;6;86
19;7;99
19;8;52
19;9;95
19;10;60
19;11;0
20;1;73
20;2;85
20;3;13
20;4;36
20;5;28
20;6;74
20;7;59
20;8;33
20;9;70
20;10;64
20;11;0
21;1;17
21;2;61
21;3;85
21;4;55
21;5;95
21;6;74
21;7;99
21;8;27
21;9;23
21;10;28
21;11;0
22;1;95
22;2;71
22;3;55
22;4;8
22;5;92
22;6;81
22;7;32
22;8;28
22;9;94
22;10;75
22;11;0
23;1;75
23;2;64
23;3;27
23;4;69
23;5;36
23;6;86
23;7;51
23;8;31
23;9;93
23;10;38
23;11;0
24;1;85
24;2;50
24;3;45
24;4;37
24;5;2
24;6;89
24;7;76
24;8;26
24;9;11
24;10;92
24;11;0
25;1;1
25;2;80
25;3;75
25;4;6
25;5;87
25;6;48
25;7;100
25;8;98
25;9;2
25;10;10
25;11;0
26;1;70
26;2;9
26;3;71
26;4;53
26;5;57
26;6;86
26;7;12
26;8;8
26;9;42
26;10;14
26;11;0
27;1;64
27;2;88
27;3;27
27;4;13
27;5;44
27;6;37
27;7;1
27;8;69
27;9;95
27;10;21
27;11;0
28;1;97
28;2;20
28;3;7
28;4;30
28;5;65
28;6;43
28;7;17
28;8;45
28;9;4
28;10;69
28;11;0
29;1;43
29;2;10
29;3;88
29;4;70
29;5;75
29;6;35
29;7;85
29;8;52
29;9;23
29;10;8
29;11;0
30;1;56
30;2;100
30;3;48
30;4;51
30;5;7
30;6;37
30;7;79
30;8;30
30;9;55
30;10;28
30;11;0
31;1;95
31;2;94
31;3;13
31;4;67
31;5;82
31;6;61
31;7;26
31;8;4
31;9;29
31;10;38
31;11;0
32;1;96
32;2;69
32;3;91
32;4;52
32;5;15
32;6;23
32;7;68
32;8;72
32;9;1
32;10;90
32;11;0
33;1;60
33;2;21
33;3;99
33;4;22
33;5;56
33;6;55
33;7;71
33;8;63
33;9;16
33;10;54
33;11;0
34;1;85
34;2;48
34;3;80
34;4;81
34;5;76
34;6;33
34;7;94
34;8;10
34;9;67
34;10;52
34;11;0
35;1;40
35;2;3
35;3;5
35;4;59
35;5;88
35;6;36
35;7;44
35;8;34
35;9;70
35;10;14
35;11;0
36;1;96
36;2;78
36;3;14
36;4;8
36;5;12
36;6;47
36;7;31
36;8;88
36;9;64
36;10;27
36;11;0
37;1;4
37;2;20
37;3;31
37;4;32
37;5;18
37;6;51
37;7;90
37;8;66
37;9;12
37;10;30
